id,license,address,city,county,state,latitude,longitude
42328,Verizon,(Hamden) 1055 WINTERGREEN AVE,HAMDEN,NEW HAVEN,CT,41.34977778,-72.97266667
42330,Verizon,300' W of Garden Circle and Farmdale Drive Intersection,Waterbury,NEW HAVEN,CT,41.57036111,-73.01788889
3081,AT&T,16 TITICUS MOUNTAIN RD (26034),NEW FAIRFIELD,FAIRFIELD,CT,41.45066667,-73.516
1785,AT&T,103 Great Hollow Rd,WOODBURY,LITCHFIELD,CT,41.522,-73.22075
10026,Verizon,5 PERRYRIDGE ROAD,GREENWICH,FAIRFIELD,CT,41.03394444,-73.63083333
10027,Verizon,Booth Hill Road,TRUMBULL,FAIRFIELD,CT,41.27911111,-73.18525
42321,Verizon,(Hamden) 1055 WINTERGREEN AVE,HAMDEN,NEW HAVEN,CT,41.34977778,-72.97266667
35583,Verizon,123 Campville Hill Rd (Harwinton site),Terryville,LITCHFIELD,CT,41.73675,-73.09702778
15278,AT&T,856 Middletown Rd (65087),Colchester,NEW LONDON,CT,41.55163889,-72.42580556
351,AT&T,165 Elmwood Hill Road,Putnam,WINDHAM,CT,41.92925,-71.81005556
350,AT&T,Knowlton Hill Rd,Ashford,WINDHAM,CT,41.84066667,-72.2075
349,AT&T,215 COATNEY HILL ROAD,WOODSTOCK,WINDHAM,CT,41.96227778,-72.01866667
348,AT&T,165 HUNTINGTON ROAD,SCOTLAND,WINDHAM,CT,41.69588889,-72.09705556
10008,Verizon,(Thompson) 61 LOWELL DAVIS ROAD,THOMPSON,WINDHAM,CT,41.97894444,-71.8525
10009,Verizon,(Plainfield) SPAULDING ROAD,Putnam,WINDHAM,CT,41.67455556,-71.87869444
347,AT&T,83 Windham Street,WILLIMANTIC,WINDHAM,CT,41.72058333,-72.21836111
41350,AT&T,201 GRANITE RD,GUILFORD,NEW HAVEN,CT,41.29194444,-72.73283333
41349,AT&T,10 BONA STREET,Milford,NEW HAVEN,CT,41.22008333,-73.07738889
346,AT&T,1375 North Road,Dayville,WINDHAM,CT,41.8715,-71.82152778
345,AT&T,61 LOWELL DAVIS ROAD,THOMPSON,WINDHAM,CT,41.97894444,-71.8525
1787,AT&T,44 Gavitt Road,Barkhamsted,LITCHFIELD,CT,41.94608333,-72.91147222
1786,AT&T,35 LOWER COUNTY RD,ROXBURY,LITCHFIELD,CT,41.55961111,-73.29222222
1784,AT&T,7 Surdan Mountain Rd,SHARON,LITCHFIELD,CT,41.86205556,-73.39961111
1783,AT&T,170 Mt.  Tobe Road,Plymouth,LITCHFIELD,CT,41.63002778,-73.05652778
1782,AT&T,171 TOWN HILL RD,PLYMOUTH,LITCHFIELD,CT,41.66838889,-73.01988889
1781,AT&T,15 OAKDALE AVE,WINCHESTER,LITCHFIELD,CT,41.92163889,-73.04938889
1780,AT&T,399 Chestnut Land Rd,NEW MILFORD,LITCHFIELD,CT,41.63191667,-73.36744444
3076,AT&T,46 FENWOOD LANE (5775),WILTON,FAIRFIELD,CT,41.17255556,-73.43391667
1779,AT&T,136 Bulls Bridge Road,SOUTH KENT,LITCHFIELD,CT,41.68163889,-73.48661111
41348,AT&T,135 NEW RD,MADISON,NEW HAVEN,CT,41.29341667,-72.57836111
41347,AT&T,1605 DURHAM RD,WALLINGFORD,NEW HAVEN,CT,41.46958333,-72.74225
41346,AT&T,OLD ROUTE 79,Madison,NEW HAVEN,CT,41.28555556,-72.60136111
41345,AT&T,59 SHELTON ROAD,Oxford,NEW HAVEN,CT,41.41213889,-73.12961111
41344,AT&T,438 BRIDGEPORT AVENUE,MILFORD,NEW HAVEN,CT,41.20661111,-73.09338889
41343,AT&T,1432 WATERBURY RD,SOUTHBURY,NEW HAVEN,CT,41.49358333,-73.16527778
41342,AT&T,528 WHEELERS FARM ROAD,Milford,NEW HAVEN,CT,41.24844444,-73.07908333
41341,AT&T,500 COOKS LANE,GUILFORD,NEW HAVEN,CT,41.41875,-72.71169444
15280,AT&T,268 WINDHAM AVENUE  (87026),COLCHESTER,NEW LONDON,CT,41.5925,-72.32111111
15279,AT&T,Stone Hill RD (86133),Voluntown,NEW LONDON,CT,41.6065,-71.851
3069,AT&T,36 RITCH AVE (24473),GREENWICH,FAIRFIELD,CT,41.00505556,-73.64830556
3067,AT&T,1081 NORTH STREET (60388),GREENWICH,FAIRFIELD,CT,41.13930556,-73.64180556
1778,AT&T,453 LOON MEADOW ROAD,NORFOLK,LITCHFIELD,CT,42.00908333,-73.18088889
3190,AT&T,1 WILLIS STREET,BRISTOL,HARTFORD,CT,41.64908333,-72.94802778
344,AT&T,45 SPAULDING ROAD,PLAINFIELD,WINDHAM,CT,41.67480556,-71.87911111
45325,Verizon,WINDHAM AVE,COLCHESTER,NEW LONDON,CT,41.5925,-72.32111111
41339,AT&T,1233 WOLCOTT RD,Wolcott,NEW HAVEN,CT,41.62158333,-72.97363889
41338,AT&T,2 LARKIN DRIVE,MIDDLEBURY,NEW HAVEN,CT,41.51361111,-73.12444444
41337,AT&T,203 RESEARCH DRIVE,Woodmont,NEW HAVEN,CT,41.24041667,-73.01194444
10030,Verizon,(Monroe CT) 230 GUINEA ROAD,Monroe,FAIRFIELD,CT,41.34166667,-73.27444444
3193,AT&T,350 Hartland Blvd,Hartland,HARTFORD,CT,41.97708333,-72.88786111
3194,AT&T,650 Albany TPKE,CANTON,HARTFORD,CT,41.85055556,-72.94872222
3195,AT&T,131 LITTLE CITY RD,KILLINGWORTH,MIDDLESEX,CT,41.42877778,-72.60380556
3196,AT&T,170 INGHAM HILL ROAD,OLD SAYBROOK,MIDDLESEX,CT,41.30988889,-72.39752778
41336,AT&T,10 Tanner Marsh Rd,GUILFORD,NEW HAVEN,CT,41.28861111,-72.65827778
3197,AT&T,ROUTE 81,KILLINGWORTH,MIDDLESEX,CT,41.36947222,-72.56422222
3198,AT&T,126 PARKER ROAD,East Haddam,MIDDLESEX,CT,41.46091667,-72.39522222
3199,AT&T,ROUTE 81,KILLINGWORTH,MIDDLESEX,CT,41.33811111,-72.55652778
