id,license,address,city,county,state,structure,structure_type,latitude,longitude
20486,AT&T,"S3, T12N, R10W (101378)",Tyonek,KENAI PENINSULA,AK,50.3,LTOWER,61.16477778,-151.0438056
20485,AT&T,MP 179 Parks Hwy (101380),Cantwell,MATANUSKA-SUSITNA,AK,75.6,GTOWER,63.094,-149.507
20484,AT&T,8751 EAST MILE 6 ROAD  (94021),Wasilla,MATANUSKA-SUSITNA,AK,30.8,MTOWER,61.68022222,-149.2311944
20483,AT&T,HC01 Box 2547  (101366),Glennallen,VALDEZ-CORDOVA,AK,39,MTOWER,62.02738889,-146.6355556
20482,AT&T,65855 Dimond Ridge Road (93995),Homer,KENAI PENINSULA,AK,25.9,LTOWER,59.68047222,-151.6243333
20481,AT&T,2420 Backacres Road (93988),Palmer,MATANUSKA-SUSITNA,AK,33.2,MTOWER,61.55572222,-149.0225833
20480,AT&T,3413 Levan Avenue (93997),Wasilla,MATANUSKA-SUSITNA,AK,35.1,MTOWER,61.55252778,-149.5355556
20464,AT&T,Mi. 165 Glenn Highway  (94042),Glenallen,VALDEZ-CORDOVA,AK,48.8,GTOWER,62.10813889,-146.1755278
20462,AT&T,6 MILES E OF STERLING HIGHWAY ON JOHNS ROAD  (94015),NAPTOWNE,KENAI PENINSULA,AK,80.8,LTOWER,60.52944444,-150.5833333
20461,AT&T,"Lot 1, Block 6, 4th of July Creek (94033)",Seward,KENAI PENINSULA,AK,60.7,LTOWER,60.08338889,-149.3447222
20460,AT&T,5 miles N Kenai Spur Road MP 24  (94018),KENAI,KENAI PENINSULA,AK,25.9,GTOWER,60.71969444,-151.3663889
20437,AT&T,2420 Backacres Road (93988),Palmer,MATANUSKA-SUSITNA,AK,33.2,MTOWER,61.55572222,-149.0225833
20438,AT&T,65855 Dimond Ridge Road (93995),Homer,KENAI PENINSULA,AK,25.9,LTOWER,59.68047222,-151.6243333
20439,AT&T,HC01 Box 2547  (101366),Glennallen,VALDEZ-CORDOVA,AK,39,MTOWER,62.02738889,-146.6355556
20440,AT&T,8751 EAST MILE 6 ROAD  (94021),Wasilla,MATANUSKA-SUSITNA,AK,30.8,MTOWER,61.68022222,-149.2311944
20441,AT&T,MP 179 Parks Hwy (101380),Cantwell,MATANUSKA-SUSITNA,AK,75.6,GTOWER,63.094,-149.507
20442,AT&T,"S3, T12N, R10W (101378)",Tyonek,KENAI PENINSULA,AK,50.3,LTOWER,61.16477778,-151.0438056
20443,AT&T,22302 West Johnny Parks Drive (110443),WASILLA,MATANUSKA-SUSITNA,AK,121.9,LTOWER,61.43169444,-149.9979444
20444,AT&T,18392 N GLENN HWY (101369),SUTTON,MATANUSKA-SUSITNA,AK,36.6,LTOWER,61.71911111,-148.8383889
20445,AT&T,"SE 1/4 S30, T08S, R06W, CRM (101364)",Valdez,VALDEZ-CORDOVA,AK,11.6,MTOWER,61.14025,-146.3635
20446,AT&T,17205 BISHOP STREET (112130),Ninilchik,KENAI PENINSULA,AK,38.4,MTOWER,60.023,-151.5898611
20447,AT&T,MILE POST 36.5 SEWARD HWY (106240),MOOSE PASS,KENAI PENINSULA,AK,18.9,LTOWER,60.53258333,-149.5344444
20448,AT&T,16725 E Maud Rd (110422),Palmer,MATANUSKA-SUSITNA,AK,45.7,LTOWER,61.58552778,-149.0287222
20449,AT&T,5432 Kenai Spur Rd (112129),Kenai,KENAI PENINSULA,AK,37.5,MTOWER,60.74183333,-151.2198611
20450,AT&T,1 MILE SOUTH OF DAYVILLE ROAD (94046),VALDEZ,VALDEZ-CORDOVA,AK,30.8,MTOWER,61.07213889,-146.2020278
20451,AT&T,"Bear Valley Road, 4.8 miles N of Seward (94040)",Seward,KENAI PENINSULA,AK,53.6,MTOWER,60.18211111,-149.3736111
