id,license,address,city,county,state,latitude,longitude
0,Verizon,(Hamden) 1055 WINTERGREEN AVE,HAMDEN,NEW HAVEN,CT,41.34977778,-72.97266667
1,Verizon,300' W of Garden Circle and Farmdale Drive Intersection,Waterbury,NEW HAVEN,CT,41.57036111,-73.01788889
2,AT&T,16 TITICUS MOUNTAIN RD (26034),NEW FAIRFIELD,FAIRFIELD,CT,41.45066667,-73.516
3,AT&T,103 Great Hollow Rd,WOODBURY,LITCHFIELD,CT,41.522,-73.22075
4,Verizon,5 PERRYRIDGE ROAD,GREENWICH,FAIRFIELD,CT,41.03394444,-73.63083333
5,Verizon,Booth Hill Road,TRUMBULL,FAIRFIELD,CT,41.27911111,-73.18525
6,Verizon,(Hamden) 1055 WINTERGREEN AVE,HAMDEN,NEW HAVEN,CT,41.34977778,-72.97266667
7,Verizon,123 Campville Hill Rd (Harwinton site),Terryville,LITCHFIELD,CT,41.73675,-73.09702778
8,AT&T,856 Middletown Rd (65087),Colchester,NEW LONDON,CT,41.55163889,-72.42580556
9,AT&T,165 Elmwood Hill Road,Putnam,WINDHAM,CT,41.92925,-71.81005556
10,AT&T,Knowlton Hill Rd,Ashford,WINDHAM,CT,41.84066667,-72.2075
11,AT&T,215 COATNEY HILL ROAD,WOODSTOCK,WINDHAM,CT,41.96227778,-72.01866667
12,AT&T,165 HUNTINGTON ROAD,SCOTLAND,WINDHAM,CT,41.69588889,-72.09705556
13,Verizon,(Thompson) 61 LOWELL DAVIS ROAD,THOMPSON,WINDHAM,CT,41.97894444,-71.8525
14,Verizon,(Plainfield) SPAULDING ROAD,Putnam,WINDHAM,CT,41.67455556,-71.87869444
15,AT&T,83 Windham Street,WILLIMANTIC,WINDHAM,CT,41.72058333,-72.21836111
16,AT&T,201 GRANITE RD,GUILFORD,NEW HAVEN,CT,41.29194444,-72.73283333
17,AT&T,10 BONA STREET,Milford,NEW HAVEN,CT,41.22008333,-73.07738889
18,AT&T,1375 North Road,Dayville,WINDHAM,CT,41.8715,-71.82152778
19,AT&T,61 LOWELL DAVIS ROAD,THOMPSON,WINDHAM,CT,41.97894444,-71.8525
20,AT&T,44 Gavitt Road,Barkhamsted,LITCHFIELD,CT,41.94608333,-72.91147222
21,AT&T,35 LOWER COUNTY RD,ROXBURY,LITCHFIELD,CT,41.55961111,-73.29222222
22,AT&T,7 Surdan Mountain Rd,SHARON,LITCHFIELD,CT,41.86205556,-73.39961111
23,AT&T,170 Mt.  Tobe Road,Plymouth,LITCHFIELD,CT,41.63002778,-73.05652778
24,AT&T,171 TOWN HILL RD,PLYMOUTH,LITCHFIELD,CT,41.66838889,-73.01988889
25,AT&T,15 OAKDALE AVE,WINCHESTER,LITCHFIELD,CT,41.92163889,-73.04938889
26,AT&T,399 Chestnut Land Rd,NEW MILFORD,LITCHFIELD,CT,41.63191667,-73.36744444
27,AT&T,46 FENWOOD LANE (5775),WILTON,FAIRFIELD,CT,41.17255556,-73.43391667
28,AT&T,136 Bulls Bridge Road,SOUTH KENT,LITCHFIELD,CT,41.68163889,-73.48661111
29,AT&T,135 NEW RD,MADISON,NEW HAVEN,CT,41.29341667,-72.57836111
30,AT&T,1605 DURHAM RD,WALLINGFORD,NEW HAVEN,CT,41.46958333,-72.74225
31,AT&T,OLD ROUTE 79,Madison,NEW HAVEN,CT,41.28555556,-72.60136111
